StateAbbr,CountyName,CountyFIPS,Obesity_2023,Obesity_2030
AL,Autauga,1001,39.3,42.20394173
AL,Bullock,1011,49.2,52.83546903
AL,Chilton,1021,42.6,45.74778416
AL,Cleburne,1029,36.4,39.08965595
AL,DeKalb,1049,41.2,44.24433585
IL,Knox,17095,41.2,44.24433585
FL,Walton,12131,,
FL,Miami-Dade,12086,,
AL,Lowndes,1085,47.3,50.7950749
AL,Marion,1093,39.2,42.09655256
FL,Jackson,12063,,
FL,Union,12125,,
FL,Broward,12011,,
FL,Columbia,12023,,
AK,Nome,2180,40.6,43.60000087
AR,Ashley,5003,42,45.10344917
AR,Chicot,5017,46.7,50.15073991
AR,Howard,5061,41,44.02955752
AR,Johnson,5071,38.4,41.23743924
AR,Logan,5083,40.2,43.17044421
AR,Miller,5091,38.2,41.02266091
AR,Perry,5105,38,40.80788258
AR,Sharp,5135,39.9,42.84827671
CA,Solano,6095,29.9,32.10936024
CO,Costilla,8023,31.6,33.93497604
CO,Denver,8031,22,23.62561623
CO,Gilpin,8047,26.7,28.67290697
CO,Lincoln,8073,29.4,31.57241442
CO,Montrose,8085,25.6,27.49162616
CO,Phillips,8095,28,30.06896611
CO,Rio Blanco,8103,27,28.99507447
CO,San Juan,8111,26,27.92118282
CO,Weld,8123,28.9,31.0354686
GA,Bulloch,13031,33.5,35.97537017
GA,Burke,13033,40,42.95566588
GA,Chattahoochee,13053,32.6,35.00886769
GA,Decatur,13087,38,40.80788258
GA,Greene,13133,36.5,39.19704511
GA,Hall,13139,38.6,41.45221757
GA,Lamar,13171,37.6,40.37832593
GA,Marion,13197,36.5,39.19704511
GA,Peach,13225,38.9,41.77438507
GA,Stephens,13257,33.2,35.65320268
GA,Taliaferro,13265,41.8,44.88867084
GA,Thomas,13275,39,41.88177423
GA,Wayne,13305,39.5,42.41872005
GA,Whitfield,13313,36.4,39.08965595
ID,Bonner,16017,32.5,34.90147853
ID,Custer,16037,34.1,36.61970516
ID,Jerome,16053,38.2,41.02266091
ID,Oneida,16071,31.3,33.61280855
ID,Shoshone,16079,38.2,41.02266091
IL,Bureau,17011,37.4,40.1635476
IL,Edwards,17047,37.6,40.37832593
IL,Gallatin,17059,38.1,40.91527175
IL,Hancock,17067,37,39.73399094
IL,McHenry,17111,30.7,32.96847356
IL,Monroe,17133,32.1,34.47192187
IL,Pike,17149,37.8,40.59310425
IL,Saline,17165,38.4,41.23743924
IL,Stark,17175,35.7,38.3379318
IL,Vermilion,17183,37.7,40.48571509
IN,Crawford,18025,43.3,46.49950831
IN,Dubois,18037,38.8,41.6669959
IN,Grant,18053,38.6,41.45221757
IN,Marshall,18099,36.5,39.19704511
IN,Ohio,18115,37.1,39.8413801
IN,Owen,18119,37.4,40.1635476
IN,Pike,18125,38.2,41.02266091
IN,Rush,18139,39.2,42.09655256
IN,Shelby,18145,40.3,43.27783337
IN,Sullivan,18153,38,40.80788258
IN,Wayne,18177,37.4,40.1635476
IN,Whitley,18183,36.9,39.62660177
IA,Appanoose,19007,38.9,41.77438507
IA,Clayton,19043,40,42.95566588
IA,Delaware,19055,36.3,38.98226678
IA,Fremont,19071,38.8,41.6669959
IA,Hamilton,19079,39.1,41.9891634
IA,Linn,19113,38.4,41.23743924
IA,Osceola,19143,39.4,42.31133089
IA,Sac,19161,38.5,41.34482841
IA,Washington,19183,36.6,39.30443428
IA,Winneshiek,19191,32.8,35.22364602
KS,Barber,20007,38.4,41.23743924
KS,Chautauqua,20019,42.5,45.640395
KS,Comanche,20033,37.2,39.94876927
KS,Dickinson,20041,38.2,41.02266091
KS,Gove,20063,37.9,40.70049342
KS,McPherson,20113,35.3,37.90837514
KS,Morton,20129,38.9,41.77438507
KS,Ness,20135,37.5,40.27093676
KS,Phillips,20147,36.9,39.62660177
KS,Riley,20161,28.4,30.49852277
KS,Saline,20169,36.1,38.76748845
KS,Wichita,20203,39.3,42.20394173
KY,Bullitt,21029,38.2,41.02266091
KY,Casey,21045,43,46.17734082
KY,Clinton,21053,41.3,44.35172502
KY,Graves,21083,41.1,44.13694669
KY,Hickman,21105,38.7,41.55960674
KY,Knox,21121,42.1,45.21083834
KY,Lee,21129,41.5,44.56650335
KY,McLean,21149,39,41.88177423
KY,Metcalfe,21169,40.1,43.06305504
KY,Muhlenberg,21177,41,44.02955752
KY,Spencer,21215,37.1,39.8413801
LA,Rapides,22079,37.3,40.05615843
ME,Aroostook,23003,39.9,42.84827671
ME,Kennebec,23011,34.3,36.83448349
ME,Oxford,23017,34.5,37.04926182
ME,Somerset,23025,37.5,40.27093676
MD,Baltimore,24005,36.5,39.19704511
MD,Cecil,24015,36.2,38.87487762
MD,Charles,24017,42.3,45.42561667
MD,Somerset,24039,45,48.32512411
MD,Wicomico,24045,36.2,38.87487762
MI,Alger,26003,35.9,38.55271013
MI,Arenac,26011,38,40.80788258
MI,Gratiot,26057,36.5,39.19704511
MI,Ionia,26067,36.4,39.08965595
MI,Lapeer,26087,37.4,40.1635476
MI,Wayne,26163,36.9,39.62660177
MN,Big Stone,27011,37.3,40.05615843
MN,Clay,27027,34.1,36.61970516
MN,Dodge,27039,35.9,38.55271013
MN,Lac qui Parle,27073,35.6,38.23054263
MN,Olmsted,27109,29.5,31.67980358
MN,Pope,27121,34.2,36.72709433
MN,Todd,27153,39.5,42.41872005
MS,Benton,28009,43.1,46.28472998
MS,Choctaw,28019,38.2,41.02266091
MS,Harrison,28047,35.7,38.3379318
MS,Leake,28079,44.2,47.4660108
MS,Lowndes,28087,41,44.02955752
MS,Rankin,28121,36.5,39.19704511
MS,Wayne,28153,41.9,44.99606001
MS,Yalobusha,28161,43.5,46.71428664
MO,Carter,29035,40,42.95566588
MO,Clay,29047,40.6,43.60000087
MO,Crawford,29055,37.9,40.70049342
MO,Daviess,29061,37,39.73399094
MO,Greene,29077,32.8,35.22364602
MO,Howell,29091,42.3,45.42561667
MO,Linn,29115,38.1,40.91527175
MO,Macon,29121,41.3,44.35172502
MO,Morgan,29141,40.9,43.92216836
MO,Polk,29167,37.7,40.48571509
MO,Reynolds,29179,39.7,42.63349838
MO,Vernon,29217,36.8,39.51921261
MO,Worth,29227,42.5,45.640395
MT,Big Horn,30003,39.3,42.20394173
MT,Fallon,30025,33.1,35.54581351
MT,Lake,30047,34.4,36.94187265
MT,Meagher,30059,32.9,35.33103518
MT,Richland,30083,35.4,38.0157643
MT,Toole,30101,32,34.3645327
MT,Wibaux,30109,32.6,35.00886769
NE,Burt,31021,39.5,42.41872005
NE,Cedar,31027,37.2,39.94876927
NE,Clay,31035,41.9,44.99606001
NE,Dawes,31045,37,39.73399094
NE,Douglas,31055,35.2,37.80098597
NE,Frontier,31063,36.8,39.51921261
NE,Gosper,31073,39.5,42.41872005
NE,Hayes,31085,36.9,39.62660177
NE,Nemaha,31127,40.8,43.8147792
NE,Phelps,31137,41,44.02955752
NE,Pierce,31139,35.4,38.0157643
NE,Rock,31149,38.2,41.02266091
NV,Douglas,32005,28.7,30.82069027
NV,Lincoln,32017,34.9,37.47881848
NV,Storey,32029,30.3,32.5389169
NM,Catron,35003,36.5,39.19704511
NM,Grant,35017,33.3,35.76059184
NM,Valencia,35061,37.8,40.59310425
NY,Broome,36007,33.2,35.65320268
NY,Cortland,36023,36.8,39.51921261
NY,Herkimer,36043,33.1,35.54581351
NC,Polk,37149,31.2,33.50541938
ND,Pierce,38069,36.1,38.76748845
ND,Wells,38103,35.9,38.55271013
OH,Carroll,39019,38.6,41.45221757
OH,Knox,39083,39.5,42.41872005
OH,Monroe,39111,39.8,42.74088755
OH,Morgan,39115,45.3,48.64729161
OH,Noble,39121,40.6,43.60000087
OK,Carter,40019,40.7,43.70739003
OK,Creek,40037,41.7,44.78128168
OK,Grant,40053,40.1,43.06305504
OK,Johnston,40069,41.4,44.45911418
OK,Latimer,40077,40,42.95566588
OK,Major,40093,41.8,44.88867084
OK,Nowata,40105,43.2,46.39211915
OK,Pawnee,40117,40.7,43.70739003
OR,Clackamas,41005,32,34.3645327
OR,Crook,41013,32.6,35.00886769
OR,Jackson,41029,30,32.21674941
OR,Lake,41037,35.9,38.55271013
OR,Wallowa,41063,30.1,32.32413857
PA,Erie,42049,37.2,39.94876927
SD,Day,46037,38.4,41.23743924
TN,Hardeman,47069,40.5,43.4926117
TN,Hickman,47081,37.3,40.05615843
TN,Jefferson,47089,34.8,37.37142931
TN,Overton,47133,38.1,40.91527175
TN,Scott,47151,37.4,40.1635476
TN,Van Buren,47175,39.9,42.84827671
TX,Anderson,48001,42.9,46.06995165
TX,Bandera,48019,35.3,37.90837514
TX,Caldwell,48055,40.4,43.38522254
TX,Clay,48077,35.9,38.55271013
TX,Coleman,48083,36.8,39.51921261
TX,Comanche,48093,37,39.73399094
TX,Crosby,48107,40.9,43.92216836
TX,Eastland,48133,37,39.73399094
TX,Foard,48155,38.6,41.45221757
TX,Gaines,48165,37.2,39.94876927
TX,Garza,48169,37.6,40.37832593
TX,Grimes,48185,41.4,44.45911418
TX,Hardeman,48197,37.2,39.94876927
TX,Harris,48201,36.7,39.41182344
TX,Jones,48253,39,41.88177423
TX,Kendall,48259,32.6,35.00886769
TX,Llano,48299,34.1,36.61970516
TX,Medina,48325,37.6,40.37832593
TX,Moore,48341,37.9,40.70049342
TX,Oldham,48359,37.6,40.37832593
TX,Sabine,48403,37.2,39.94876927
TX,Smith,48423,35.6,38.23054263
TX,Uvalde,48463,39.3,42.20394173
TX,Van Zandt,48467,35.6,38.23054263
TX,Webb,48479,43.7,46.92906497
TX,Wilbarger,48487,40.6,43.60000087
TX,Williamson,48491,32.7,35.11625686
UT,Summit,49043,23.6,25.34384287
UT,Uintah,49047,38.9,41.77438507
VT,Caledonia,50005,31.8,34.14975437
VT,Windham,50025,27.9,29.96157695
VA,Appomattox,51011,40,42.95566588
VA,Bath,51017,40.7,43.70739003
VA,Caroline,51033,38,40.80788258
VA,Essex,51057,44,47.25123247
VA,Frederick,51069,33.7,36.1901485
VA,Goochland,51075,34,36.512316
VA,Pittsylvania,51143,41.9,44.99606001
VA,Sussex,51183,42.2,45.3182275
VA,Wythe,51197,40,42.95566588
VA,Buena Vista,51530,36.6,39.30443428
VA,Norton,51720,40.1,43.06305504
WA,Columbia,53013,32.6,35.00886769
WA,Jefferson,53031,30.8,33.07586273
WV,Pleasants,54073,44.1,47.35862163
WV,Roane,54087,43.7,46.92906497
WV,Wayne,54099,45.4,48.75468077
WV,Wood,54107,40.1,43.06305504
WI,Buffalo,55011,37.1,39.8413801
WI,Clark,55019,36.9,39.62660177
FL,Seminole,12117,,
FL,Nassau,12089,,
IA,Boone,19015,35.8,38.44532096
WI,Iowa,55049,34.1,36.61970516
FL,Levy,12075,,
FL,Brevard,12009,,
TN,McNairy,47109,37,39.73399094
FL,Sumter,12119,,
GA,Walton,13297,35.8,38.44532096
WI,Rusk,55107,38.1,40.91527175
IL,Marshall,17123,36,38.66009929
FL,Taylor,12123,,
TX,Jack,48237,38.2,41.02266091
FL,Martin,12085,,
OK,Garvin,40049,43.1,46.28472998
FL,Hardee,12049,,
WY,Platte,56031,35.8,38.44532096
FL,Gulf,12045,,
OK,Hughes,40063,41.3,44.35172502
IL,LaSalle,17099,35.9,38.55271013
AK,Anchorage,2020,33,35.43842435
FL,Suwannee,12121,,
OK,Sequoyah,40135,42.6,45.74778416
WV,Mineral,54057,34.3,36.83448349
MN,Brown,27015,35,37.58620764
KY,Grayson,21085,41.1,44.13694669
VA,Albemarle,51003,27.9,29.96157695
TX,Henderson,48213,37.1,39.8413801
MO,Stoddard,29207,41.1,44.13694669
TN,Fayette,47047,32.7,35.11625686
IA,Clarke,19039,42.9,46.06995165
NY,Steuben,36101,34.1,36.61970516
MN,Fillmore,27045,33.7,36.1901485
OH,Marion,39101,46.5,49.93596158
TX,Gonzales,48177,39.5,42.41872005
KY,Edmonson,21061,39.3,42.20394173
MS,Tallahatchie,28135,46.4,49.82857242
TX,Taylor,48441,33.2,35.65320268
FL,Lee,12071,,
AR,Grant,5053,39.6,42.52610922
NM,Sierra,35051,32.7,35.11625686
LA,Terrebonne,22109,39.5,42.41872005
PA,Philadelphia,42101,31.1,33.39803022
PA,Warren,42123,37.5,40.27093676
SC,Hampton,45049,41.8,44.88867084
AZ,Graham,4009,35.9,38.55271013
SC,Fairfield,45039,43.5,46.71428664
WV,Hardy,54031,41.2,44.24433585
OH,Pike,39131,39.7,42.63349838
OH,Wyandot,39175,34.4,36.94187265
MS,Oktibbeha,28105,39.7,42.63349838
ND,Sargent,38081,38,40.80788258
MT,Petroleum,30069,32.8,35.22364602
UT,Beaver,49001,32.7,35.11625686
OH,Greene,39057,36.2,38.87487762
NH,Cheshire,33005,31.3,33.61280855
ND,Bottineau,38009,41.8,44.88867084
PA,Columbia,42037,39.2,42.09655256
GA,Lowndes,13185,38.2,41.02266091
MO,Osage,29151,32.8,35.22364602
KY,Trimble,21223,41.2,44.24433585
FL,Highlands,12055,,
SD,Moody,46101,33.6,36.08275934
VA,Madison,51113,37.6,40.37832593
FL,Franklin,12037,,
VA,Colonial Heights,51570,37.4,40.1635476
FL,DeSoto,12027,,
IL,Hamilton,17065,37.2,39.94876927
KY,Fulton,21075,44.8,48.11034578
CO,Baca,8009,28.1,30.17635528
NC,Bladen,37017,41.7,44.78128168
KS,Barton,20009,39.2,42.09655256
MN,Aitkin,27001,37.5,40.27093676
UT,Grand,49019,31.4,33.72019771
TX,Erath,48143,34.3,36.83448349
TN,Putnam,47141,33.7,36.1901485
SD,Yankton,46135,36.1,38.76748845
TN,Lincoln,47103,36.3,38.98226678
KY,Nelson,21179,36.9,39.62660177
NC,Wake,37183,32,34.3645327
GA,Jefferson,13163,43.6,46.82167581
TX,Chambers,48071,39.1,41.9891634
TX,Brazos,48041,31.6,33.93497604
KS,Lincoln,20105,38.6,41.45221757
SC,Colleton,45029,37.4,40.1635476
IN,Tipton,18159,38.5,41.34482841
ID,Bear Lake,16007,34.6,37.15665098
IL,Ogle,17141,34.9,37.47881848
NM,Roosevelt,35041,34.4,36.94187265
MI,Oceana,26127,36,38.66009929
NC,Northampton,37131,44.7,48.00295662
